Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0627679994949339,0.118390187178668,0.120701728364036,0,0,0,0.171395163597277,8.1536530058795E-05,-5.60903798702699E-07,3.80437093139824E-07,0.000139361066214885,5.55463363232956E-06,0.000195030559061584,0,0,0,0,0,0,package://yaw_up/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/base_link.STL,,Assem2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ll1,-0.0420347956040815,0.00676838766069543,0.000831994100401356,0,0,0,0.0567619776679608,1.14756917470476E-05,1.35960268927184E-06,-2.99195986456226E-12,1.3932671458358E-05,-1.2147473907434E-11,2.16624601638867E-05,0,0,0,0,0,0,package://yaw_up/meshes/ll1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/ll1.STL,,Assem3-2,Origin_cont1,Axis_cont1,cont1,continuous,0.121103017217308,-0.130629139818877,0.0261829037749329,0.471262856650424,1.47186001227126,-1.46893419609193,base_link,1,0,0,5,1.6,-2,2,,,,,,,,
ll2,0.0778980644517551,-0.00188050071023185,-0.000136279288433419,0,0,0,0.0795021958276127,2.80100482545646E-05,-5.0750905787742E-07,-6.23846255757303E-07,4.79478664371899E-05,-4.80555281518637E-09,6.96783926461646E-05,0,0,0,0,0,0,package://yaw_up/meshes/ll2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/ll2.STL,,Assem4-3,Origin_cont2,Axis_cont2,cont2,continuous,-0.0158829970163555,0,0.00144799409181526,3.14159265358979,0.342013643737887,0,ll1,0,1,0,5,1.6,-2,2,,,,,,,,
ll3,0.0778972332409252,-0.00303044202228217,-0.000136254616679127,0,0,0,0.0795039389987274,2.80103436690538E-05,-5.07916773490461E-07,-6.2387840351977E-07,4.79482953658807E-05,-4.9837759444308E-09,6.96791063857567E-05,0,0,0,0,0,0,package://yaw_up/meshes/ll3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/ll3.STL,,Assem4-4,Origin_cont3,Axis_cont3,cont3,continuous,0.132403980397028,0,0.000947994091809776,0,0.189269243876191,0,ll2,0,1,0,5,1.6,-2,2,,,,,,,,
ll4,-1.38777878078145E-17,-0.00436556542581049,-0.0362160119976063,0,0,0,0.144582107490847,6.19050303018409E-05,8.13151629364128E-20,-1.27054942088145E-20,0.00023855999560411,3.60062576501089E-07,0.00027237837889079,0,0,0,0,0,0,package://yaw_up/meshes/ll4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://yaw_up/meshes/ll4.STL,,stablefootxx[1].step-1,Origin_cont4,Axis_cont4,cont4,continuous,0.132403980397011,0,0.000947994091808471,0,-1.28430634760588,0,ll3,0,1,0,5,1.6,-2,2,,,,,,,,
rf1,-0.0415558839107142,0.00676838766069546,0.000831994100401384,0,0,0,0.0567619776679608,1.14756917470476E-05,1.35960268927185E-06,-2.99195985958594E-12,1.3932671458358E-05,-1.21474739209866E-11,2.16624601638867E-05,0,0,0,0,0,0,package://yaw_up/meshes/rf1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/rf1.STL,,Assem3-1,Origin_cont5,Axis_cont5,cont5,continuous,0.00631271314130238,-0.130915886178834,0.0255338596048635,2.87357474133709,1.47186001227126,-1.46893419609193,base_link,1,0,0,5,1.6,-2,2,,,,,,,,
rf2,0.0778972376943017,-0.00288022926783998,-0.000136427684923654,0,0,0,0.079503267737485,2.80103657687164E-05,-5.07468632221227E-07,-6.23919397242849E-07,4.79480059195122E-05,-4.69428718569277E-09,6.96787313462689E-05,0,0,0,0,0,0,package://yaw_up/meshes/rf2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/rf2.STL,,Assem4-1,Origin_cont6,Axis_cont6,cont6,continuous,-0.0154040853229882,0,0.00144799409181529,-3.14159265358979,-0.37603557805053,0,rf1,0,1,0,5,1.6,-2,2,,,,,,,,
rf3,0.0778974295354088,-0.00403019939969158,-0.000136447709444154,0,0,0,0.0795028878295167,2.80103856382154E-05,-5.07437893365299E-07,-6.23915394961065E-07,4.7948011764352E-05,-4.68773674677529E-09,6.96787414375636E-05,0,0,0,0,0,0,package://yaw_up/meshes/rf3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yaw_up/meshes/rf3.STL,,Assem4-2,Origin_cont7,Axis_cont7,cont7,continuous,0.13240398039702,0,0.00094799409181541,0,-0.152487783275856,0,rf2,0,1,0,5,1.6,-2,2,,,,,,,,
rf4,-3.67761376907083E-16,-0.00536556459134571,-0.0362160119976065,0,0,0,0.144582107490847,6.19050303018409E-05,1.9312351197398E-19,2.46063071177374E-19,0.00023855999560411,3.60062576501162E-07,0.00027237837889079,0,0,0,0,0,0,package://yaw_up/meshes/rf4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://yaw_up/meshes/rf4.STL,,stablefootxx[1].step-2,Origin_cont8,Axis_cont8,cont8,continuous,0.132403980397021,0,0.000947994091815341,-3.14159265358978,-1.39390510815192,3.14159265358978,rf3,0,1,0,5,1.6,-2,2,,,,,,,,
