Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0567114891561859,0.0849439592220373,0.149421333987205,0,0,0,0.171395163597277,8.15294272941173E-05,-2.02031529968215E-08,5.98391970806169E-12,0.000138818427725874,1.25115494357392E-20,0.000195580300315273,0,0,0,0,0,0,package://bi_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/base_link.STL,,Assem2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ll1,-0.0331301764718445,0.0059934631782641,0.00079947811355896,0,0,0,0.0590705733476927,1.3308524861968E-05,2.14063430261469E-06,-2.99195985855362E-12,1.43799773807184E-05,-1.21474739180219E-11,2.37886928225187E-05,0,0,0,0,0,0,package://bi_urdf/meshes/ll1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/ll1.STL,,Assem3-2,Origin_cont1,Axis_cont1,cont1,continuous,0.11411,-0.1504,0,1.684,1.5708,0,base_link,1,0,0,,,,,,,,,,,,
ll2,0.0778982604545579,-0.00188038436766949,-0.000136280275821715,0,0,0,0.0795021386782517,2.80103394628434E-05,-5.07840329373671E-07,-6.24048642295068E-07,4.79485384385568E-05,-4.85497821551154E-09,6.96791885207485E-05,0,0,0,0,0,0,package://bi_urdf/meshes/ll2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/ll2.STL,,Assem4-3,Origin_cont2,Axis_cont2,cont2,continuous,-0.0065092,0,0.001448,3.1416,0.33619,0,ll1,0,1,0,,,,,,,,,,,,
ll3,0.0778976796340647,-0.00303014713788041,-0.000136385683643853,0,0,0,0.0795031696493418,2.80107149584798E-05,-5.07630150300652E-07,-6.24134776035916E-07,4.79488600662513E-05,-4.71096969100992E-09,6.96797618128892E-05,0,0,0,0,0,0,package://bi_urdf/meshes/ll3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/ll3.STL,,Assem4-4,Origin_cont3,Axis_cont3,cont3,continuous,0.1324,0,0.00094799,0,0.0053505,0,ll2,0,1,0,,,,,,,,,,,,
ll4,0.0323728229309788,0.00403307760573293,-0.0259374292242309,0,0,0,0.148691452005003,0.000141408471608347,-7.35013992628706E-11,1.36402639413287E-05,0.000121661823888846,4.44078269580986E-11,6.3815096631629E-05,0,0,0,0,0,0,package://bi_urdf/meshes/ll4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/ll4.STL,,foot-2,Origin_cont4,Axis_cont4,cont4,continuous,0.1324,0,0.00094799,-3.1416,0.12441,0,ll3,0,1,0,,,,,,,,,,,,
rf1,-0.0331301764718445,0.00599346317826412,0.000799478113558877,0,0,0,0.0590705733476927,1.3308524861968E-05,2.14063430261468E-06,-2.99195985866666E-12,1.43799773807184E-05,-1.2147473906587E-11,2.37886928225187E-05,0,0,0,0,0,0,package://bi_urdf/meshes/rf1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/rf1.STL,,Assem3-1,Origin_cont5,Axis_cont5,cont5,continuous,-0.00068189,-0.1503,0,1.6657,1.5708,0,base_link,1,0,0,,,,,,,,,,,,
rf2,0.0778985515392482,-0.00288004846033524,-0.000136476683728737,0,0,0,0.0795019689262471,2.80103488233918E-05,-5.07353683898513E-07,-6.24315510033273E-07,4.79484668398027E-05,-4.92358754028956E-09,6.96791217969134E-05,0,0,0,0,0,0,package://bi_urdf/meshes/rf2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/rf2.STL,,Assem4-1,Origin_cont6,Axis_cont6,cont6,continuous,-0.0065092,0,0.001448,3.1416,0.56368,0,rf1,0,1,0,,,,,,,,,,,,
rf3,0.0778986419083725,-0.0040304270423848,-0.000136464415692622,0,0,0,0.0795017739594857,2.80102442958975E-05,-5.08144435641516E-07,-6.24292753533907E-07,4.79482686237526E-05,-4.58116491178416E-09,6.96787760982269E-05,0,0,0,0,0,0,package://bi_urdf/meshes/rf3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/rf3.STL,,Assem4-2,Origin_cont7,Axis_cont7,cont7,continuous,0.1324,0,0.00094799,0,1.5652,0,rf2,0,1,0,,,,,,,,,,,,
rf4,0.0323727969942671,-0.00503310259820185,-0.0259372246375299,0,0,0,0.148690566734215,0.000141406802440884,-8.86260460081181E-11,1.36400187170798E-05,0.000121660404134023,5.78555238334605E-11,6.38148197232088E-05,0,0,0,0,0,0,package://bi_urdf/meshes/rf4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/rf4.STL,,foot-1,Origin_cont8,Axis_cont8,cont8,continuous,0.1324,0,0.00094799,0,-0.4873,0,rf3,0,1,0,,,,,,,,,,,,
