#{"t_start": 1757679027.0682552, "env_id": "None"}
r,l,t
-71.649327,155,194.719895
-125.446569,87,195.240872
-96.125657,152,196.167419
-131.772015,45,196.450033
-114.523574,152,197.349006
-166.362613,58,197.710703
-142.839877,51,198.013326
-131.077035,51,198.320631
-174.824398,57,198.670416
-128.739522,51,198.983648
-104.048668,71,199.428138
-139.283905,54,199.738737
-159.109715,62,200.106045
-124.934701,88,200.640368
-156.718267,134,201.408409
-194.50293,51,201.70883
-164.194088,61,202.057944
-61.620311,202,203.242248
-165.462347,61,203.58959
-119.161222,48,203.874754
-159.497439,60,204.222153
-122.466206,57,204.553914
-163.578469,59,204.917436
-133.239245,41,205.17035
-140.608298,40,205.411935
-165.758066,109,206.054088
-126.206337,41,206.292446
-101.650164,53,206.60859
-196.943125,232,208.035294
-275.51474,262,209.618384
-156.41929,110,210.277201
-791.290631,666,214.175898
-152.080841,81,214.647541
-118.174799,40,214.885091
-131.551112,43,215.15487
-157.624038,114,215.851674
-131.457188,53,216.229801
111.0566,179,217.305726
-90.67198,67,217.717497
-75.575892,12,218.920828
-137.044729,46,219.208172
-161.051865,54,219.54051
-177.337321,37,219.792432
-111.221037,52,220.092658
-140.889936,40,220.345073
-133.395837,37,220.566088
-107.1545,41,220.803372
-145.578175,52,221.119298
-120.552165,37,221.329496
-264.850336,282,222.942639
-137.089304,52,223.2425
-90.410275,60,223.589017
-134.83491,40,223.828524
-43.328496,209,225.045794
-379.222289,339,227.080867
-128.697005,39,227.317436
-114.804238,38,227.561326
-80.76548,74,227.988997
-107.421529,60,228.352367
-182.79909,68,228.762977
-142.577624,40,229.027566
3.00607,123,229.755004
-101.300583,68,230.185503
-113.184545,34,230.374664
-114.550232,35,230.580401
-127.840291,44,230.853573
-106.50743,35,231.06089
-200.312032,56,231.399087
-154.847365,202,232.605157
-126.259066,49,232.911194
-124.174552,44,233.181507
-101.908789,128,233.941201
-97.501812,34,234.152558
-138.639471,54,234.486409
-132.534223,37,234.708666
-138.134755,57,235.052089
-205.605958,43,235.332355
-81.330503,48,235.67253
-151.816953,48,235.987647
-110.774117,34,236.192588
-125.436873,70,236.640546
-126.415103,37,236.886999
130.684337,156,237.846847
-118.07053,46,238.148444
-129.495618,49,238.481369
-96.834775,74,238.94929
-132.113683,48,239.253492
-129.081444,47,239.545636
-165.704324,51,239.875724
-122.360941,38,240.116885
-108.911189,53,240.464812
-124.097216,43,240.741918
76.725655,144,241.575371
-102.301681,42,241.832889
-121.771524,73,242.250226
-146.649716,41,242.49649
-166.038197,37,242.715136
-156.675596,88,243.232625
-129.945425,43,243.498272
-115.357354,62,243.872663
-127.217691,42,244.125874
-130.324433,37,244.363058
-120.81672,37,244.585721
-100.163838,225,245.921562
-212.495556,211,247.220031
-120.785139,43,247.505419
-154.551039,40,247.755844
-104.533449,134,248.575309
-145.739396,50,248.886842
-151.91186,42,249.141553
-43.816488,27,250.634515
-113.694894,67,251.067793
-173.681011,25,251.238525
-180.408784,31,251.420219
-160.795475,236,252.821727
-164.760826,211,254.056358
-113.365324,114,254.737723
-51.079116,214,256.009032
-192.209668,238,257.47261
-149.437449,270,259.168104
-156.330985,200,260.401753
-191.092222,296,262.150445
-120.395141,67,262.546447
-88.838939,85,263.050691
-117.038076,174,264.05213
-149.067564,68,264.462735
-164.416728,169,265.456048
-343.819494,384,267.748347
-124.145053,76,268.231471
-81.91087,139,269.119299
-486.917805,398,271.496597
5.714337,167,272.383159
-165.628963,118,273.101866
125.380333,172,274.097179
-246.92908,143,274.920221
-152.848807,164,275.867932
-372.312262,313,277.770354
-80.373381,139,278.63805
-167.985138,123,279.397021
-141.111293,92,279.981486
22.788008,107,304.161626
-41.773396,29,304.395467
-124.092054,78,304.916812
-108.423555,63,305.325711
-183.906113,97,305.952706
-86.295604,55,306.321188
-98.373404,44,306.588105
-121.74917,125,307.404353
-160.524894,66,307.847293
101.519258,118,308.617006
-363.114403,214,309.957148
-153.32529,52,310.287549
-144.886576,37,310.52746
-59.407238,313,312.563098
31.707628,202,313.890649
-175.92,50,314.235914
