#{"t_start": 1758004239.7373414, "env_id": "None"}
r,l,t
125.175513,62,107.69133
-39.716017,17,107.837348
-6.026007,24,108.05222
120.399184,104,108.923306
-38.030653,18,109.083178
-40.528072,20,109.252335
-33.44186,20,109.421751
-10.350458,30,109.672058
-49.812072,18,109.821966
-49.756946,18,109.983472
-47.785848,17,110.116533
-42.105823,19,110.280398
-52.794651,16,110.419071
-50.271394,18,110.565661
-48.083134,18,110.709243
-32.947452,21,110.894723
-26.503453,21,111.073658
-59.280726,16,111.212489
26.242061,39,111.588506
-22.139921,24,111.787329
-46.476386,17,111.950846
-29.116424,37,112.297565
115.078283,61,112.851726
-24.4745,46,113.242121
-213.674716,192,114.894892
-108.221209,13,115.016872
-81.819923,11,115.115355
-174.188402,66,115.688838
-104.816771,12,115.80967
-70.441451,28,116.069213
-111.740692,23,116.26219
-104.910161,52,116.66922
-85.826982,23,116.861338
-63.113997,33,117.122922
-85.203175,43,117.474173
4.684244,67,118.012343
-60.630541,18,118.152507
-82.80109,24,118.33743
-84.292702,58,118.820761
-76.888148,76,119.437195
-129.30306,47,119.809535
-96.466382,15,119.94088
-35.529384,89,120.649184
-59.869854,29,120.883671
57.614689,120,121.900079
26.578287,39,122.222271
152.266897,128,123.330421
48.752165,57,123.848987
85.036477,60,124.346831
-2.882336,60,124.835119
82.566916,120,125.8562
-3.021197,137,126.976674
105.965584,122,128.206197
60.981876,82,129.040669
79.152706,138,130.465971
-60.087932,89,131.353708
42.768945,65,132.01896
104.43384,87,132.885906
310.375877,201,134.797177
41.442523,80,135.582217
280.905504,149,136.972291
99.572348,82,137.735229
302.563126,139,139.054029
-26.824817,16,139.228345
53.479066,79,139.882241
4.807985,80,140.492011
-41.797198,17,140.621535
-57.012777,15,140.754031
74.267512,62,141.237756
130.811545,194,142.807901
134.314833,138,143.890844
172.050077,130,144.936683
170.138385,125,145.847567
-17.760159,21,146.004585
101.657379,113,146.837908
99.433586,92,147.499997
49.64044,72,148.050703
-8.640143,25,148.239575
455.715079,203,149.762013
-31.985566,20,149.917844
157.893227,79,150.524392
-83.013455,18,150.650397
-16.464018,29,150.870923
-16.802165,23,151.050207
-14.34053,24,151.241485
78.528936,82,151.838193
-42.23982,18,151.968725
-29.527792,19,152.117162
138.652769,90,152.777217
66.90329,68,153.279692
115.600817,64,153.766414
276.97793,160,154.957906
98.267281,71,155.491595
-73.375678,15,155.617433
136.155192,82,156.229869
52.483364,57,156.651338
-5.10098,23,156.824175
158.662091,63,157.330545
-64.66071,9,157.404195
-62.456193,9,157.483669
96.406135,59,157.959371
-67.713626,7,158.02708
-62.489982,12,158.123907
584.027473,233,160.024275
10.65517,94,160.781318
-23.306107,19,160.94913
116.651806,101,161.842658
169.380886,77,162.473337
281.807072,110,163.420213
-66.665346,5,163.462281
-79.148669,8,163.541235
-66.369238,5,163.59798
152.285349,87,164.350212
-10.306229,23,164.546988
66.196399,57,165.039572
-45.455697,62,165.563862
398.471971,153,166.829393
-42.731319,59,167.286771
107.118875,61,167.761701
179.087303,97,168.50966
1336.447597,433,171.964096
132.425871,75,172.579496
21.315503,68,173.144953
108.830763,47,173.716362
-134.395277,18,173.861341
-51.362679,10,173.945749
157.247107,122,174.963456
-45.565493,10,175.040361
-45.370704,10,175.132908
-35.898397,12,175.234252
449.173457,155,176.571888
30.332759,74,177.193539
270.568957,204,178.923515
97.867646,45,179.296077
-74.428867,131,180.420847
-29.231897,47,180.83542
-45.703543,23,181.045394
-98.318647,62,181.552724
-106.948186,60,182.063414
423.031497,149,183.298215
94.840431,52,183.7288
88.710606,76,184.38499
172.637663,81,185.063308
83.936712,76,185.689872
254.664082,167,187.113734
195.268227,151,188.363577
103.112136,70,188.92065
87.016982,150,190.123165
98.338066,66,190.688408
149.086205,93,191.457786
281.000414,132,192.59823
170.332341,101,193.425079
70.519385,94,194.179107
444.06949,177,195.62325
199.936805,66,196.144418
178.640549,125,197.165003
34.686244,66,197.715544
-74.257033,74,198.314174
51.618635,84,199.005826
-48.593443,139,200.188026
202.371191,111,201.129845
365.293991,214,202.95121
284.731747,127,204.033843
78.734137,54,204.498118
141.382173,50,204.921973
798.119042,226,206.790934
372.775811,222,208.703651
376.059285,205,210.398044
298.597486,94,211.201199
326.780568,84,211.971319
84.970353,80,212.672025
197.730961,76,213.29126
187.63077,88,214.029355
146.694306,76,214.688394
182.556654,105,215.551713
-73.005572,46,215.943235
287.323064,77,216.581279
346.093134,110,217.475671
706.516204,215,219.290787
420.34103,195,220.943599
93.025923,82,221.611549
91.174226,70,222.161812
205.467487,105,222.967761
1283.343911,332,225.568432
360.573942,127,226.502919
157.362107,73,227.102401
265.837685,106,227.88782
135.241744,67,228.412852
132.440853,81,229.057773
283.979284,84,229.717337
29.262428,161,230.974503
1566.749803,390,234.017324
87.380924,63,234.487687
63.753396,75,235.068775
223.732183,127,236.084088
103.90147,106,236.918857
326.274287,126,237.886117
354.801986,151,239.048466
281.127529,114,239.938732
548.791155,237,241.796962
57.032146,74,242.389652
322.500805,105,243.158136
-78.736977,72,243.724623
478.8254,151,245.034169
24.699504,76,245.662023
328.930841,90,246.393167
694.879593,159,247.828964
600.107338,244,249.967593
16.97682,64,250.518367
230.546132,74,251.100484
306.541356,96,251.902867
141.730707,84,252.650406
298.597372,136,253.782223
93.557209,71,254.386101
439.503866,135,255.487047
119.261925,65,258.954535
379.303543,132,260.075598
90.550143,79,260.861352
363.920108,104,261.865839
948.385988,252,264.347202
103.229911,52,264.865535
377.263803,160,266.509156
1305.342719,325,269.66898
231.741103,157,271.154438
350.079238,123,272.30789
473.227091,159,273.896254
179.831137,111,274.949487
500.966938,158,276.47771
249.556053,100,277.516122
70.354953,68,278.15086
320.573911,143,279.581018
47.929544,50,280.0954
665.122196,191,281.879024
159.785811,67,282.538352
469.791473,154,284.125225
40.678027,73,284.87061
-19.769567,19,285.043154
364.735465,151,286.503496
123.720881,57,287.085692
268.642144,103,288.086272
367.756618,165,289.688832
256.840391,110,290.758561
250.408381,118,291.930876
32.674372,73,292.650362
153.051213,86,293.516371
143.155106,112,294.58491
601.894792,161,296.132014
140.193058,58,296.725687
316.64663,123,297.967648
732.39838,207,299.941465
111.940735,79,300.732718
323.925178,132,302.057132
793.608522,218,304.209456
646.566928,165,305.761369
544.211549,194,307.520377
511.675793,246,309.71771
82.784942,60,310.237718
138.619499,66,310.792132
412.810164,175,312.326797
131.41915,93,313.147374
292.464441,126,314.209279
1008.633198,228,316.15185
203.830276,85,316.897897
1603.414734,313,319.524046
538.70128,128,320.614347
401.867833,127,321.711461
2230.393992,445,325.454548
131.278078,71,326.045942
2055.825431,463,329.964802
319.724179,99,330.779346
1466.043816,425,334.602125
93.563304,88,335.431439
272.354285,130,336.600534
59.631871,91,337.413783
1566.088719,394,340.950895
742.194736,212,342.792454
120.795931,56,343.315211
767.858523,192,345.05037
247.603409,144,346.442463
814.926843,195,348.234301
140.45162,61,348.805177
91.339638,113,349.78487
417.436362,104,350.736376
321.982943,81,354.48823
-25.523895,20,354.682788
197.84592,85,355.43922
283.29442,218,357.439677
400.523943,122,358.545271
237.48408,83,359.337166
151.623769,70,360.003069
1382.635731,339,363.021629
1635.582549,444,366.96785
176.865644,70,367.616034
837.549021,237,369.705736
394.690863,114,370.701562
241.744268,96,371.551114
422.132465,108,372.500112
986.12217,237,374.588395
235.501064,98,375.459958
170.315105,99,376.344379
-6.916816,20,376.531183
164.951637,105,377.472584
59.578038,37,377.852441
-22.829259,78,378.53853
218.225653,75,379.189374
802.549873,186,380.820552
1123.046345,337,383.691125
491.532799,110,384.623531
667.355842,179,386.274063
117.421505,77,387.058164
1939.451389,418,390.8408
583.47972,146,392.172267
313.642185,73,392.850912
286.170408,112,393.844543
1309.819773,291,396.267049
908.37053,256,398.336529
128.415629,82,399.075033
575.213019,171,400.550394
158.323031,72,401.17473
339.516607,107,402.128504
477.843877,187,403.70459
1249.367337,280,406.138743
159.371122,74,406.80735
1417.799236,301,409.357592
992.072097,262,411.662568
345.779573,141,412.968804
162.684845,64,413.5998
1171.443555,235,416.06054
1547.022037,305,418.903145
1677.363144,378,422.167055
128.278894,56,422.642123
209.192564,99,423.575548
803.386142,196,425.36271
324.642711,119,426.547355
938.88095,267,429.129879
859.969438,207,431.382305
109.252067,56,431.92565
264.824814,91,432.80166
87.704529,55,433.318409
115.923373,62,433.904342
1239.421893,258,436.323351
323.622623,107,437.339107
4.994961,85,438.078025
234.270665,92,438.860183
1403.652171,263,441.11011
394.897002,127,442.186696
387.21291,145,443.533587
172.992221,81,444.292783
67.67667,35,447.592001
-133.929217,8,447.655013
-78.70366,66,448.169221
996.654701,235,450.036521
176.547491,85,450.727845
240.464359,100,451.510655
108.64503,72,452.07082
1510.591155,305,454.603082
2536.995228,487,459.001796
417.222477,134,460.146252
193.299592,82,460.806429
1713.411074,354,463.894952
515.538604,135,465.07139
549.254921,145,466.274957
1477.591407,325,469.139193
2080.157631,473,473.257765
1630.699865,364,476.194591
2405.445188,631,480.987259
227.835195,118,481.91353
734.074767,144,483.060173
223.149395,91,483.793067
152.87087,112,484.657268
251.096369,74,485.23078
926.058866,267,487.320471
455.978141,131,488.342062
168.41818,130,489.347795
1026.565563,228,491.12622
470.27716,176,492.446138
970.427425,206,494.038247
2831.544149,581,498.573198
1172.615421,255,500.598023
264.009331,94,501.348758
398.568384,100,502.213129
103.755959,73,502.825686
778.338191,178,504.349003
431.397476,119,505.443435
693.996568,225,507.388489
1947.66899,382,510.578053
101.676132,161,511.927749
744.57205,203,513.568379
721.23582,260,515.797447
98.885722,75,516.409377
681.622833,216,518.262631
2141.085366,402,521.599008
366.597676,94,522.430795
187.446211,84,523.157061
1354.751598,249,525.198106
3250.529006,571,537.62476
-144.99394,29,537.86282
858.222054,225,539.85927
537.613158,158,541.276336
339.213731,192,543.050281
1210.10505,295,545.741971
311.267958,104,546.694231
751.38171,173,548.224936
235.567263,121,549.294983
539.05377,167,550.788295
261.622217,113,551.769138
82.161329,85,552.569872
2343.366891,429,556.317749
491.581855,148,557.619304
173.206514,139,558.813427
385.139086,143,559.944154
362.240309,110,560.840327
423.543539,294,563.117298
2775.093653,521,567.187253
162.517807,89,567.862936
786.293019,203,569.494493
541.413272,189,570.937646
209.344468,70,571.472034
851.949786,278,573.607712
536.529224,171,574.921883
1228.415997,240,576.834373
1722.057944,392,579.89106
1329.770385,275,582.071592
684.496723,165,583.402279
124.968383,65,583.983344
397.657731,101,584.830909
59.175203,68,585.425486
3049.515626,512,589.723276
434.565109,122,590.744531
366.968277,146,591.968663
136.481091,71,592.533568
3363.032391,764,598.981697
294.735171,99,599.815777
1468.761002,302,602.266402
834.341729,215,604.11642
488.14015,117,605.168704
1001.346462,286,607.606517
