#{"t_start": 1749294896.2605057, "env_id": "None"}
r,l,t
-61.919081,85,159.913233
-19.16222,273,162.318664
118.452097,1391,188.856083
-134.866343,52,189.374311
-77.466574,44,189.763308
-273.918496,191,191.443068
-91.290918,113,192.463078
-229.257295,95,193.323253
-81.275493,50,193.775765
-165.183421,56,194.301126
-57.786424,51,194.767141
-85.880378,85,195.549886
-88.386451,44,195.945587
-78.954219,58,196.473796
-94.701178,55,196.963479
-92.844102,33,197.263669
-72.38191,42,197.639376
-69.863408,72,198.291598
-82.871047,73,198.950897
-80.863711,68,199.543332
-74.742487,43,199.925396
-71.050254,48,200.311455
310.64632,2494,222.204611
296.89772,1233,279.853986
-528.965957,108,280.902493
696.881506,4645,322.145046
41.192173,247,326.560489
-79.723701,34,326.881154
182.851384,1360,338.997476
-57.036056,100,339.875848
167.943637,675,345.874839
193.840355,740,352.378615
-45.950376,36,352.696162
-29.537657,44,353.092498
653.692499,2011,372.936288
-80.124251,23,373.158491
-90.732481,43,373.543942
15.449736,262,375.88485
106.247806,379,379.239521
50.307724,302,381.923405
181.257507,793,388.960135
257.585989,966,397.536145
810.376877,2232,441.614697
-74.401836,71,442.31171
1235.888182,4889,485.887474
-37.820084,40,486.423776
-91.372838,43,486.820314
